source,context,tier,ground_truth,prediction,score,correct,matcher,code
"Neoplasm, uncertain whether benign or malignant",fhir_aggregator,content,researchstudy.condition.coding,ResearchStudy.condition.coding,1.0,True,rule,"Neoplasm, uncertain whether benign or malignant"
IA2,staging_group,content,observation.valuecodeableconcept,Observation.valueCodeableConcept,1.0,True,rule,1222726009
Rectosigmoid polyp,anatomical_location.prime,content,specimen.collection.bodysite,Specimen.collection.bodySite,1.0,True,rule,181261002
US Guided Paracentesis,procedure.prime,content,procedure.code,Procedure.code,1.0,True,rule,16433271000119101
Right jaw resection,anatomical_location.prime,content,specimen.collection.bodysite,Specimen.collection.bodySite,1.0,True,rule,735178003
Filtered SNV Calls,fhir_aggregator,content,documentreference.category.coding,DocumentReference.category.coding,1.0,True,rule,Filtered SNV Calls
Squamous Cell Neoplasms,fhir_aggregator,content,researchstudy.condition.coding,ResearchStudy.condition.coding,1.0,True,rule,118286007
Kidney,fhir_aggregator,content,condition.bodysite.coding,Condition.bodySite.coding,1.0,True,rule,64033007
Left Lower Lobe- Lung,anatomical_location.prime,content,specimen.collection.bodysite,Specimen.collection.bodySite,1.0,True,rule,41224006
Not Applicable,fhir_aggregator,content,condition.stage.summary.coding,Condition.stage.summary.coding,1.0,True,rule,Not Applicable
Ifosfamide,fhir_aggregator,content,medicationadministration.medicationcodeableconcept.coding,MedicationAdministration.medicationCodeableConcept.coding,1.0,True,rule,Ifosfamide
Right lower lobe of right lung,anatomical_location.prime,content,specimen.collection.bodysite,Procedure.code,1.0,True,rule,739139005
Right shoulder/Scapula subQ node,anatomical_location.prime,content,specimen.collection.bodysite,Specimen.collection.bodySite,1.0,True,rule,71791004
Masked Somatic Mutation,fhir_aggregator,content,documentreference.category.coding,DocumentReference.category.coding,1.0,True,rule,Masked Somatic Mutation
American Joint Committee on Cancer pN0,fhir_aggregator,content,condition.stage.summary.coding,Condition.stage.summary.coding,1.0,True,rule,1229947003
PCR-Free 160x Coverage WGS (NovaSeq 6000),fhir_aggregator,content,specimen.collection.method.coding,Specimen.collection.method.coding,1.0,True,rule,PCR-Free 160x Coverage WGS (NovaSeq 6000)
[M]Pancreatic adenoma or carcinoma NOS,histology,content,condition.code,Condition.code,1.0,True,rule,363418001
Lt Axillary LN Biopsy,anatomical_location.prime,content,procedure.code,Procedure.code,1.0,True,rule,21911005
"Connective, subcutaneous and other soft tissues",fhir_aggregator,content,condition.bodysite.coding,Condition.bodySite.coding,1.0,True,rule,21793004
Chest wall,anatomical_location.prime,content,specimen.collection.bodysite,Procedure.code,1.0,True,rule,177754003
Right breast and axillary lymph node,anatomical_location.prime,content,specimen.collection.bodysite,Procedure.code,1.0,True,rule,429400009
Skin above right iliac crest,anatomical_location.prime,content,specimen.collection.bodysite,Procedure.code,1.0,True,rule,177249006
N3c,staging_n,content,condition.stage.summary.coding,Condition.stage.type.coding,1.0,True,rule,1229965004
Ovarian structure,sample_tissue_type,content,specimen.type,Specimen.type,1.0,True,rule,15497006
IIB,staging_group,content,observation.valuecodeableconcept,Observation.valueCodeableConcept,1.0,True,rule,1222769001
IIIA1,staging_group,content,observation.valuecodeableconcept,Observation.valueCodeableConcept,1.0,True,rule,1222803006
Duodenum,anatomical_location.prime,content,specimen.collection.bodysite,Procedure.code,1.0,True,rule,1208951004
Left supraclavicular lymph node biopsy,anatomical_location.prime,content,specimen.collection.bodysite,Procedure.code,1.0,True,rule,21911005
T2a2,staging_t,content,observation.valuecodeableconcept,Observation.valueCodeableConcept,1.0,True,rule,1229855006
Mediastinal Lymph Node - Lung,anatomical_location.prime,content,specimen.collection.bodysite,Procedure.code,1.0,True,rule,234263003
Right Supraclavicular Node,anatomical_location.prime,content,specimen.collection.bodysite,Specimen.collection.bodySite,1.0,True,rule,59441001
US Guided Liver biopsy,anatomical_location.prime,content,specimen.collection.bodysite,Specimen.collection.bodySite,1.0,True,rule,10200004
RLQ Abdominal mass,anatomical_location.prime,content,specimen.collection.bodysite,Procedure.code,1.0,True,rule,225162003
Etoposide,fhir_aggregator,content,medicationadministration.medicationcodeableconcept.coding,MedicationAdministration.medicationCodeableConcept.coding,1.0,True,rule,Etoposide
T4e,staging_t,content,observation.valuecodeableconcept,Observation.valueCodeableConcept,1.0,True,rule,1229869006
N1bI,staging_n,content,observation.valuecodeableconcept,Observation.valueCodeableConcept,1.0,True,rule,1229955005
Epidural tumor,anatomical_location.prime,content,specimen.collection.bodysite,Specimen.collection.bodySite,1.0,True,rule,30636001
Excisional Biopsy,procedure.prime,content,procedure.code,Procedure.code,1.0,True,rule,8889005
N0 (mol+),staging_n,content,observation.valuecodeableconcept,Observation.valueCodeableConcept,1.0,True,rule,1229950000
American Joint Committee on Cancer pTX,fhir_aggregator,content,condition.stage.summary.coding,Condition.stage.summary.coding,1.0,True,rule,1228950008
"Epithelial Neoplasms, NOS",fhir_aggregator,content,researchstudy.condition.coding,ResearchStudy.condition.coding,1.0,True,rule,118285006
Periduodenal mass,anatomical_location.prime,content,specimen.collection.bodysite,Specimen.collection.bodySite,1.0,True,rule,38848004
9:00 2cm Right Breast,anatomical_location.prime,content,specimen.collection.bodysite,Procedure.code,1.0,True,rule,392023007
N1,staging_n,content,condition.stage.summary.coding,Condition.stage.type.coding,1.0,True,rule,1229951001
Left modified radical mastectomy and lymph node dissection,anatomical_location.prime,content,procedure.code,Procedure.code,1.0,True,rule,726437009
STAR-Fusion,fhir_aggregator,content,documentreference.category.coding,DocumentReference.category.coding,1.0,True,rule,STAR-Fusion
Left proximal phalanx,anatomical_location.prime,content,specimen.collection.bodysite,Procedure.code,1.0,True,rule,708650001
US-guided Percutaneous Biopsy - FNA,procedure.prime,content,procedure.code,Procedure.code,1.0,True,rule,274314005
Sentinel lymph node biopsy of left axilla with excision,anatomical_location.prime,content,specimen.collection.bodysite,Procedure.code,1.0,True,rule,396487001
Lymph Node: Inguinal,metastasis-site,content,specimen.collection.bodysite,Specimen.collection.bodySite,1.0,True,rule,181762005
HG,staging_grade,content,observation.valuecodeableconcept,Observation.valueCodeableConcept,1.0,True,rule,1228854003
T1a2,staging_t,content,observation.valuecodeableconcept,Observation.valueCodeableConcept,1.0,True,rule,1228961000
Right external iliac,anatomical_location.prime,content,specimen.collection.bodysite,Specimen.collection.bodySite,1.0,True,rule,283797001
Right buttock,anatomical_location.prime,content,specimen.collection.bodysite,Specimen.collection.bodySite,1.0,True,rule,368209003
Blood,anatomical_location.prime,content,specimen.type,Specimen.type,1.0,True,rule,22778000
25x-150x,fhir_aggregator,content,documentreference.category.coding,DocumentReference.category.coding,1.0,True,rule,25x-150x
Peripheral blood,anatomical_location.prime,content,specimen.collection.bodysite,Specimen.type,1.0,True,rule,419583006
Omental,anatomical_location.prime,content,specimen.collection.bodysite,Procedure.code,1.0,True,rule,997199941000119102
Right diaphragmatic implant/right central diaphragmatic nodule,anatomical_location.prime,content,specimen.collection.bodysite,Procedure.code,1.0,True,rule,61952002
Colonoscopy,anatomical_location.prime,content,specimen.collection.bodysite,Procedure.code,1.0,True,rule,73761001
Right central outer breast,anatomical_location.prime,content,specimen.collection.bodysite,Procedure.code,1.0,True,rule,392023007
CYTARABINE,fhir_aggregator,content,medicationadministration.medicationcodeableconcept.coding,MedicationAdministration.medicationCodeableConcept.coding,1.0,True,rule,CYTARABINE
neoplasm_histologic_grade,fhir_aggregator,content,condition.stage.type.coding,Condition.stage.type.coding,1.0,True,rule,2785839
NX,staging_n,content,condition.stage.summary.coding,Condition.stage.type.coding,1.0,True,rule,1229945006
LG,staging_grade,content,observation.valuecodeableconcept,Observation.valueCodeableConcept,1.0,True,rule,1228853009
Pleural cavity,anatomical_location.prime,content,specimen.collection.bodysite,Procedure.code,1.0,True,rule,278296000
CaVEMan,fhir_aggregator,content,documentreference.category.coding,DocumentReference.category.coding,1.0,True,rule,CaVEMan
"Adenocarcinoma, NOS",fhir_aggregator,content,researchstudy.condition.coding,ResearchStudy.condition.coding,1.0,True,rule,"Adenocarcinoma, NOS"
Right Lobe Liver,anatomical_location.prime,content,specimen.collection.bodysite,Specimen.collection.bodySite,1.0,True,rule,48521005
Snap Frozen,fhir_aggregator,content,specimen.processing.procedure.coding,Specimen.processing.procedure.coding,1.0,True,rule,Snap Frozen
GX,staging_grade,content,condition.stage.summary.coding,Condition.stage.summary.coding,1.0,True,rule,1228845001
Bilateral skin sparing mastectomies,anatomical_location.prime,content,specimen.collection.bodysite,Specimen.collection.bodySite,1.0,True,rule,181490005
DNA,fhir_aggregator,content,specimen.type.coding,Specimen.type.coding,1.0,True,rule,2513915
Lymph Node: Supraclavicular,metastasis-site,content,specimen.collection.bodysite,Specimen.collection.bodySite,1.0,True,rule,59441001
American Joint Committee on Cancer pN3c,fhir_aggregator,content,condition.stage.summary.coding,Condition.stage.summary.coding,1.0,True,rule,1229965004
T2 epidural tumor,anatomical_location.prime,content,specimen.collection.bodysite,Specimen.collection.bodySite,1.0,True,rule,180959008
American Joint Committee on Cancer stage IIC,fhir_aggregator,content,condition.stage.summary.coding,Condition.stage.summary.coding,1.0,True,rule,1222770000
Lymph Node,anatomical_location.prime,content,specimen.collection.bodysite,Procedure.code,1.0,True,rule,58347006
Right axillary lymph node US-guided needle core biopsy,anatomical_location.prime,content,specimen.collection.bodysite,Specimen.collection.bodySite,1.0,True,rule,746224000
Left breast conserving surgery,anatomical_location.prime,content,specimen.collection.bodysite,Procedure.code,1.0,True,rule,392023007
cervical mediastinal lymph node,anatomical_location.prime,content,specimen.collection.bodysite,Procedure.code,1.0,True,rule,58347006
Anterior Abdomen,anatomical_location.prime,content,specimen.collection.bodysite,Procedure.code,1.0,True,rule,225162003
Left axillary tail,anatomical_location.prime,content,specimen.collection.bodysite,Specimen.collection.bodySite,1.0,True,rule,457281000124109
Intra-operative US of liver; Segment 2 and 3 liver wedge resections,anatomical_location.prime,content,specimen.collection.bodysite,Specimen.collection.bodySite,1.0,True,rule,119216005
Peripancreatic Mass,anatomical_location.prime,content,specimen.collection.bodysite,Specimen.collection.bodySite,1.0,True,rule,15776009
VINORELBINE,fhir_aggregator,content,medicationadministration.medicationcodeableconcept.coding,MedicationAdministration.medicationCodeableConcept.coding,1.0,True,rule,VINORELBINE
Endometrium,anatomical_location.prime,content,specimen.collection.bodysite,Procedure.code,1.0,True,rule,T-28000
T1b,staging_t,content,condition.stage.summary.coding,Condition.stage.type.coding,1.0,True,rule,1228962007
Biopsy of left flank,anatomical_location.prime,content,specimen.collection.bodysite,Specimen.collection.bodySite,1.0,True,rule,18139001
Other,fhir_aggregator,content,medicationadministration.category.coding,MedicationAdministration.category.coding,1.0,True,rule,Other
CT-guided biopsy,procedure.prime,content,procedure.code,Procedure.code,1.0,True,rule,86273004
H&E,fhir_aggregator,content,documentreference.category.coding,DocumentReference.category.coding,1.0,True,rule,H&E
Aliquot Ensemble Somatic Variant Merging and Masking,fhir_aggregator,content,documentreference.category.coding,DocumentReference.category.coding,1.0,True,rule,Aliquot Ensemble Somatic Variant Merging and Masking
N1a,staging_n,content,condition.stage.summary.coding,Condition.stage.type.coding,1.0,True,rule,1229954009
Left breast total masectomy,anatomical_location.prime,content,specimen.collection.bodysite,Procedure.code,1.0,True,rule,1231734007
American Joint Committee on Cancer pN1a,fhir_aggregator,content,condition.stage.summary.coding,Condition.stage.summary.coding,1.0,True,rule,1229954009
Abdominal tumor implant,anatomical_location.prime,content,specimen.collection.bodysite,Specimen.collection.bodySite,1.0,True,rule,18139001
normal,fhir_aggregator,content,documentreference.securitylabel.coding,DocumentReference.securityLabel.coding,1.0,True,rule,N
Infiltrating ductular carcinoma,histology,content,condition.code,Condition.code,1.0,True,rule,408643008
Implant on sigmoid colon,anatomical_location.prime,content,specimen.collection.bodysite,Specimen.collection.bodySite,1.0,True,rule,713197008
Liver Biopsy: metastatic carcinoma,anatomical_location.prime,content,specimen.collection.bodysite,Procedure.code,1.0,True,rule,86259008
Annotated Somatic Mutation,fhir_aggregator,content,documentreference.category.coding,DocumentReference.category.coding,1.0,True,rule,Annotated Somatic Mutation
Level 2,fhir_aggregator,content,documentreference.category.coding,DocumentReference.category.coding,1.0,True,rule,Level 2
G2,staging_grade,content,condition.stage.summary.coding,Condition.stage.summary.coding,1.0,True,rule,1228850007
N0,staging_n,content,condition.stage.summary.coding,Condition.stage.type.coding,1.0,True,rule,1229947003
Liver biopsy,anatomical_location.prime,content,specimen.collection.bodysite,Procedure.code,1.0,True,rule,86259008
T2b,staging_t,content,condition.stage.summary.coding,Condition.stage.summary.coding,1.0,True,rule,1229856007
skin graft,anatomical_location.prime,content,specimen.collection.bodysite,Procedure.code,1.0,True,rule,304040003
Retroperitoneal lymph node,anatomical_location.prime,content,specimen.collection.bodysite,Procedure.code,1.0,True,rule,399733007
II,staging_group,content,observation.valuecodeableconcept,Observation.valueCodeableConcept,1.0,True,rule,1222765007
CT-guided core biopsy of the right posterior ilium,anatomical_location.prime,content,specimen.collection.bodysite,Specimen.collection.bodySite,1.0,True,rule,22356005
Remission,fhir_aggregator,content,condition.clinicalstatus.coding,Condition.clinicalStatus.coding,1.0,True,rule,remission
Adrenal Gland,metastasis-site,content,specimen.collection.bodysite,Specimen.collection.bodySite,1.0,True,rule,181127006
N1c,staging_n,content,condition.stage.summary.coding,Condition.stage.type.coding,1.0,True,rule,1229956006
Tru-Cut Needle Biopsy,procedure.prime,content,procedure.code,Procedure.code,1.0,True,rule,86273004
Chromosome 10,fhir_aggregator,content,documentreference.category.coding,DocumentReference.category.coding,1.0,True,rule,10
Diaphragm,metastasis-site,content,specimen.collection.bodysite,Specimen.collection.bodySite,1.0,True,rule,5798000
TruSeq.v1,fhir_aggregator,content,specimen.collection.method.coding,Specimen.collection.method.coding,1.0,True,rule,TruSeq.v1
Adnexal and Skin Appendage Neoplasms,fhir_aggregator,content,researchstudy.condition.coding,ResearchStudy.condition.coding,1.0,True,rule,115216003
Somatic Structural Variation,fhir_aggregator,content,documentreference.category.coding,DocumentReference.category.coding,1.0,True,rule,Somatic Structural Variation
Analysis QC,fhir_aggregator,content,documentreference.category.coding,DocumentReference.category.coding,1.0,True,rule,Analysis QC
Right primary breast tumor,anatomical_location.prime,content,specimen.collection.bodysite,Procedure.code,1.0,True,rule,1303631000
Right mastectomy and SLN,anatomical_location.prime,content,specimen.collection.bodysite,Procedure.code,1.0,True,rule,429400009
1 o'clock Left Breast 7cm from nipple,anatomical_location.prime,content,specimen.collection.bodysite,Procedure.code,1.0,True,rule,392023007
Right Axillary Mass,anatomical_location.prime,content,specimen.collection.bodysite,Procedure.code,1.0,True,rule,301798002
Right elbow soft tissue,anatomical_location.prime,content,specimen.collection.bodysite,Procedure.code,1.0,True,rule,284397007
Right radical mastectomy with axillary node dissection,anatomical_location.prime,content,specimen.collection.bodysite,Procedure.code,1.0,True,rule,726430006
Right upper lobe,anatomical_location.prime,content,specimen.collection.bodysite,Procedure.code,1.0,True,rule,739141006
T3d,staging_t,content,observation.valuecodeableconcept,Observation.valueCodeableConcept,1.0,True,rule,1229863007
Head/Neck/Thoracic,condition,content,condition.code,Condition.code,1.0,True,rule,189291009
Liver resection,anatomical_location.prime,content,specimen.collection.bodysite,Procedure.code,1.0,True,rule,107963000
Gemcitabine,fhir_aggregator,content,medicationadministration.medicationcodeableconcept.coding,MedicationAdministration.medicationCodeableConcept.coding,1.0,True,rule,Gemcitabine
IIIA2,staging_group,content,observation.valuecodeableconcept,Observation.valueCodeableConcept,1.0,True,rule,1222804000
10x-25x,fhir_aggregator,content,documentreference.category.coding,DocumentReference.category.coding,1.0,True,rule,10x-25x
Left breast 3:00 biopsy,anatomical_location.prime,content,specimen.collection.bodysite,Procedure.code,1.0,True,rule,122548005
Left Supraclavicular Lymph Node,anatomical_location.prime,content,specimen.collection.bodysite,Procedure.code,1.0,True,rule,16217501000119107
Lt axillary lymph node,anatomical_location.prime,content,procedure.code,Procedure.code,1.0,True,rule,58347006
Acute monocytic leukemia,fhir_aggregator,content,researchstudy.condition.coding,ResearchStudy.condition.coding,1.0,True,rule,Acute monocytic leukemia
Left breast simple mastectomy,anatomical_location.prime,content,specimen.collection.bodysite,Procedure.code,1.0,True,rule,428571003
Malignant tumor of prostate,histology,content,condition.code,Condition.code,1.0,True,rule,93974005
STAR 2-Pass Chimeric,fhir_aggregator,content,documentreference.category.coding,DocumentReference.category.coding,1.0,True,rule,STAR 2-Pass Chimeric
Segment 4 hepatic lobe of liver,anatomical_location.prime,content,specimen.collection.bodysite,Procedure.code,1.0,True,rule,736758005
Left supraclavicular node,anatomical_location.prime,content,specimen.collection.bodysite,Specimen.collection.bodySite,1.0,True,rule,16217501000119107
Right upper abdominal soft tissue mass,anatomical_location.prime,content,specimen.collection.bodysite,Specimen.collection.bodySite,1.0,True,rule,1293243005
Targeted Molecular Therapy,fhir_aggregator,content,medicationadministration.category.coding,MedicationAdministration.category.coding,1.0,True,rule,5102381
Tumor,fhir_aggregator,content,specimen.type.coding,Specimen.type.coding,1.0,True,rule,Tumor
SV Supplement,fhir_aggregator,content,documentreference.category.coding,DocumentReference.category.coding,1.0,True,rule,SV Supplement
Splice Junction Quantification,fhir_aggregator,content,documentreference.category.coding,DocumentReference.category.coding,1.0,True,rule,Splice Junction Quantification
IM femoral reamings,anatomical_location.prime,content,specimen.collection.bodysite,Specimen.collection.bodySite,1.0,True,rule,272673000
Right upper lobe lung,anatomical_location.prime,content,specimen.collection.bodysite,Procedure.code,1.0,True,rule,739141006
Left breast biopsy,anatomical_location.prime,content,specimen.collection.bodysite,Procedure.code,1.0,True,rule,122548005
Right breast needle core biopsy,anatomical_location.prime,content,specimen.collection.bodysite,Procedure.code,1.0,True,rule,44578009
Right chest wall excision,anatomical_location.prime,content,specimen.collection.bodysite,Specimen.collection.bodySite,1.0,True,rule,1290342004
T1c,staging_t,content,condition.stage.summary.coding,Condition.stage.type.coding,1.0,True,rule,1229846008
Right retroperitoneal lymph node mass,anatomical_location.prime,content,specimen.collection.bodysite,Procedure.code,1.0,True,rule,399733007
Left Breast and chest wall,anatomical_location.prime,content,specimen.collection.bodysite,Procedure.code,1.0,True,rule,1231734007
American Joint Committee on Cancer pT4a,fhir_aggregator,content,condition.stage.summary.coding,Condition.stage.summary.coding,1.0,True,rule,1229865000
Whole blood,fhir_aggregator,content,specimen.type.coding,Specimen.type.coding,1.0,True,rule,Whole blood
Left neck lymph node,anatomical_location.prime,content,specimen.collection.bodysite,Procedure.code,1.0,True,rule,447412005
III,staging_group,content,observation.valuecodeableconcept,Observation.valueCodeableConcept,1.0,True,rule,1222801008
Mesorectal implant,anatomical_location.prime,content,specimen.collection.bodysite,Specimen.collection.bodySite,1.0,True,rule,18139001
BAM,fhir_aggregator,content,documentreference.type.coding,DocumentReference.type.coding,1.0,True,rule,BAM
N3b,staging_n,content,condition.stage.summary.coding,Condition.stage.type.coding,1.0,True,rule,1229964000
Right and Left Breast,anatomical_location.prime,content,specimen.collection.bodysite,Specimen.collection.bodySite,1.0,True,rule,76752008
Masked Intensities,fhir_aggregator,content,documentreference.category.coding,DocumentReference.category.coding,1.0,True,rule,Masked Intensities
Unprocessed,sample-preservation-method,content,specimen.type,Specimen.type,1.0,True,rule,262001002
M1d,staging_m,content,observation.valuecodeableconcept,Observation.valueCodeableConcept,1.0,True,rule,1229926002
Inferior right liver segment 6,anatomical_location.prime,content,specimen.collection.bodysite,Specimen.collection.bodySite,1.0,True,rule,48521005
Stage IIC,fhir_aggregator,content,condition.stage.summary.coding,Condition.stage.summary.coding,1.0,True,rule,Stage IIC
BCGSC miRNA Profiling,fhir_aggregator,content,documentreference.category.coding,DocumentReference.category.coding,1.0,True,rule,BCGSC miRNA Profiling
T1b1,staging_t,content,observation.valuecodeableconcept,Observation.valueCodeableConcept,1.0,True,rule,1229844006
Left breast nodule,anatomical_location.prime,content,specimen.collection.bodysite,Specimen.collection.bodySite,1.0,True,rule,722157002
PACLITAXEL,fhir_aggregator,content,medicationadministration.medicationcodeableconcept.coding,MedicationAdministration.medicationCodeableConcept.coding,1.0,True,rule,PACLITAXEL
American Joint Committee on Cancer pathological N category allowable value,fhir_aggregator,content,condition.stage.type.coding,Condition.stage.type.coding,1.0,True,rule,1222590007
Right Posterior Iliac Bone,anatomical_location.prime,content,specimen.collection.bodysite,Specimen.collection.bodySite,1.0,True,rule,22356005
T4d,staging_t,content,observation.valuecodeableconcept,Observation.valueCodeableConcept,1.0,True,rule,1229868003
Acinar Cell Neoplasms,fhir_aggregator,content,researchstudy.condition.coding,ResearchStudy.condition.coding,1.0,True,rule,115219005
Pelvis,anatomical_location.prime,content,specimen.collection.bodysite,Specimen.collection.bodySite,1.0,True,rule,12921003
American Joint Committee on Cancer pM1a,fhir_aggregator,content,condition.stage.summary.coding,Condition.stage.summary.coding,1.0,True,rule,1229917000
Core needle biopsy of Lt breast (2 sites) and Lt axilla,anatomical_location.prime,content,specimen.collection.bodysite,Procedure.code,1.0,True,rule,44578009
Left Ovary,anatomical_location.prime,content,specimen.collection.bodysite,Procedure.code,1.0,True,rule,608891001
Skin of scalp and neck,fhir_aggregator,content,condition.bodysite.coding,Condition.bodySite.coding,1.0,True,rule,Skin of scalp and neck
Chemotherapy,fhir_aggregator,content,medicationadministration.category.coding,MedicationAdministration.category.coding,1.0,True,rule,5102381
Peripheral blood and bone marrow,anatomical_location.prime,content,specimen.collection.bodysite,Specimen.collection.bodySite,1.0,True,rule,419583006
CT Guided Biopsy retroperitoneal lymph node,anatomical_location.prime,content,specimen.collection.bodysite,Procedure.code,1.0,True,rule,21911005
Cells Biospecimen Type,fhir_aggregator,content,specimen.type.coding,Specimen.type.coding,1.0,True,rule,Cells Biospecimen Type
"Radiation Therapy, NOS",fhir_aggregator,content,medicationadministration.category.coding,MedicationAdministration.category.coding,1.0,True,rule,5102381
Stage IB,fhir_aggregator,content,condition.stage.summary.coding,Condition.stage.type.coding,1.0,True,rule,1222593009
Diagnosis,fhir_aggregator,content,condition.category.coding,Observation.category.coding,1.0,False,rule,439401001
US guided Liver core needle biopsy of 15mm hypoechoic nodule in the right lobe,anatomical_location.prime,content,specimen.collection.bodysite,Procedure.code,1.0,True,rule,86259008
lumbar spine,anatomical_location.prime,content,specimen.collection.bodysite,Procedure.code,1.0,True,rule,284407000
IB1,staging_group,content,observation.valuecodeableconcept,Observation.valueCodeableConcept,1.0,True,rule,1222729002
BCR XML,fhir_aggregator,content,documentreference.type.coding,DocumentReference.type.coding,1.0,True,rule,BCR XML
left lobe,anatomical_location.prime,content,specimen.collection.bodysite,Procedure.code,1.0,True,rule,736758005
Chromosome 7,fhir_aggregator,content,documentreference.category.coding,DocumentReference.category.coding,1.0,True,rule,7
Bilateral Fallopian tubes,anatomical_location.prime,content,specimen.collection.bodysite,Procedure.code,1.0,True,rule,287664005
IS,staging_group,content,observation.valuecodeableconcept,Observation.valueCodeableConcept,1.0,True,rule,1222733009
Flexible Bronchoscopy,procedure.prime,content,procedure.code,Procedure.code,1.0,True,rule,69621000052107
EBUS Percutaneous Biopsy - Core,procedure.prime,content,specimen.collection.bodysite,Procedure.code,1.0,True,rule,78603008
Surgical Resection,procedure.prime,content,procedure.code,Procedure.code,1.0,True,rule,56361007
Standard Exome Sequencing v3 (ICE),fhir_aggregator,content,specimen.collection.method.coding,Specimen.collection.method.coding,1.0,True,rule,Standard Exome Sequencing v3 (ICE)
Left knee,anatomical_location.prime,content,specimen.collection.bodysite,Specimen.collection.bodySite,1.0,True,rule,210659002
Left Lower Flank,anatomical_location.prime,content,specimen.collection.bodysite,Specimen.collection.bodySite,1.0,True,rule,243400007
T2a,staging_t,content,condition.stage.summary.coding,Condition.stage.type.coding,1.0,False,rule,1229853004
TAMOXIFEN,fhir_aggregator,content,medicationadministration.medicationcodeableconcept.coding,MedicationAdministration.medicationCodeableConcept.coding,1.0,True,rule,TAMOXIFEN
Peritoneal and liver nodules,anatomical_location.prime,content,specimen.collection.bodysite,Specimen.collection.bodySite,1.0,True,rule,15425007
Associated morphology,enrollment_primary_site,content,specimen.collection.bodysite,Specimen.collection.bodySite,1.0,True,rule,116676008
CYCLOPHOSPHAMIDE,fhir_aggregator,content,medicationadministration.medicationcodeableconcept.coding,MedicationAdministration.medicationCodeableConcept.coding,1.0,True,rule,CYCLOPHOSPHAMIDE
N2,staging_n,content,condition.stage.summary.coding,Condition.stage.type.coding,1.0,True,rule,1229957002
Left lower Lung nodule,anatomical_location.prime,content,specimen.collection.bodysite,Specimen.collection.bodySite,1.0,True,rule,303549000
Right abdominal wall mass,anatomical_location.prime,content,specimen.collection.bodysite,Specimen.collection.bodySite,1.0,True,rule,1279608001
NIVOLUMAB,fhir_aggregator,content,medicationadministration.medicationcodeableconcept.coding,MedicationAdministration.medicationCodeableConcept.coding,1.0,True,rule,NIVOLUMAB
Bilateral mastectomies and left axillary dissection (Dr. Arpana Naik),anatomical_location.prime,content,specimen.collection.bodysite,Specimen.collection.bodySite,1.0,True,rule,387713003
Left perirenal,anatomical_location.prime,content,specimen.collection.bodysite,Specimen.collection.bodySite,1.0,True,rule,18639004
Corpus uteri,fhir_aggregator,content,condition.bodysite.coding,Condition.bodySite.coding,1.0,True,rule,23952005
Chromosome 15,fhir_aggregator,content,documentreference.category.coding,DocumentReference.category.coding,1.0,True,rule,15
Left breast and left LN biopsy,anatomical_location.prime,content,specimen.collection.bodysite,Specimen.collection.bodySite,1.0,True,rule,80248007
Chromosome 20,fhir_aggregator,content,documentreference.category.coding,DocumentReference.category.coding,1.0,True,rule,20
Left breast skin biopsy,anatomical_location.prime,content,specimen.collection.bodysite,Specimen.collection.bodySite,1.0,True,rule,722157002
BWA with Mark Duplicates and BQSR,fhir_aggregator,content,documentreference.category.coding,DocumentReference.category.coding,1.0,True,rule,BWA with Mark Duplicates and BQSR
Left upper arm,anatomical_location.prime,content,specimen.collection.bodysite,Procedure.code,1.0,True,rule,18824003
Lt mastectomy and ALND,anatomical_location.prime,content,specimen.collection.bodysite,Procedure.code,1.0,True,rule,736753001
Stage II,fhir_aggregator,content,condition.stage.summary.coding,Condition.stage.type.coding,1.0,False,rule,Stage II
"Pharmaceutical Therapy, NOS",fhir_aggregator,content,medicationadministration.category.coding,MedicationAdministration.category.coding,1.0,True,rule,5102381
Skin above iliac crest,anatomical_location.prime,content,specimen.collection.bodysite,Procedure.code,1.0,True,rule,177249006
Superior Right lobe liver,anatomical_location.prime,content,specimen.collection.bodysite,Procedure.code,1.0,True,rule,71273005
Primary Tumor,fhir_aggregator,content,specimen.type.coding,Specimen.type.coding,1.0,True,rule,3111302
Right tube and ovary (right adnexal),anatomical_location.prime,content,specimen.collection.bodysite,Specimen.collection.bodySite,1.0,True,rule,2033006
American Joint Committee on Cancer pNX,fhir_aggregator,content,condition.stage.summary.coding,Condition.stage.summary.coding,1.0,True,rule,1229945006
Left breast skin punch biopsy,anatomical_location.prime,content,specimen.collection.bodysite,Specimen.collection.bodySite,1.0,True,rule,181490005
Fibrocystic change,histology,content,condition.code,Condition.code,1.0,True,rule,27431007
Right pericolic gutter/sub-hepatic tissue,anatomical_location.prime,content,specimen.collection.bodysite,Specimen.collection.bodySite,1.0,True,rule,40954003
Peritoneum,anatomical_location.prime,content,specimen.collection.bodysite,Procedure.code,1.0,True,rule,609015000
Chromosome 6,fhir_aggregator,content,documentreference.category.coding,DocumentReference.category.coding,1.0,True,rule,6
Normal Adjacent to Tumor,histology,content,condition.code,Condition.code,1.0,True,rule,30389008
Left Lung,anatomical_location.prime,content,specimen.collection.bodysite,Procedure.code,1.0,True,rule,735015005
Structural Variation,fhir_aggregator,content,documentreference.category.coding,DocumentReference.category.coding,1.0,True,rule,Structural Variation
Chromosome 22,fhir_aggregator,content,documentreference.category.coding,DocumentReference.category.coding,1.0,True,rule,22
